facet,feature,importance
N1_Anxiety,within_sd,0.0208568150412355
N1_Anxiety,n_extreme,0.018887714712448
N1_Anxiety,mean_response,0.0152079541888399
N1_Anxiety,n_midpoint,0.0058180679030153
N1_Anxiety,response_range,0.0056547901857461
N1_Anxiety,straightlining,0.0048144998977329
N2_Anger,within_sd,0.0382911629275051
N2_Anger,n_extreme,0.0279031400512622
N2_Anger,mean_response,0.016285536586261
N2_Anger,response_range,0.0142315552810181
N2_Anger,n_midpoint,0.0026013451789868
N2_Anger,straightlining,0.0007503620759583
N3_Depression,within_sd,0.0278543941794811
N3_Depression,n_extreme,0.0134044896236951
N3_Depression,response_range,0.0072053736986194
N3_Depression,mean_response,0.0070928774290014
N3_Depression,n_midpoint,0.0015233703087663
N3_Depression,straightlining,0.0001845422643172
N4_SelfConscious,within_sd,0.0319737942659313
N4_SelfConscious,n_extreme,0.0111750569480609
N4_SelfConscious,mean_response,0.0083259985569745
N4_SelfConscious,response_range,0.0076488601099195
N4_SelfConscious,n_midpoint,0.0065384722515944
N4_SelfConscious,straightlining,0.0018264366527916
N5_Immoderation,within_sd,0.0037517879994553
N5_Immoderation,n_extreme,0.0032712223578241
N5_Immoderation,mean_response,0.0004472996162286
N5_Immoderation,response_range,-0.0008287080463353
N5_Immoderation,n_midpoint,-0.0009919285719763
N5_Immoderation,straightlining,-0.0019175763454853
N6_Vulnerability,within_sd,0.0396840909407131
N6_Vulnerability,n_extreme,0.0279036100364715
N6_Vulnerability,mean_response,0.0136270445443152
N6_Vulnerability,n_midpoint,0.0105768172860545
N6_Vulnerability,response_range,0.0039924881828434
N6_Vulnerability,straightlining,0.0020857154806604
