facet,instrument,k,alpha,noise_pct,r_bar_formula,r_bar_actual,r_min,r_max,r_range,sd_total,SEM,spearman_brown_2item,neo_ipip_r,disattenuated_r,pca_var_explained_1,pca_var_explained_2,best_pair,best_pair_r,worst_pair,worst_pair_r,itc_mean,itc_min,itc_max,entropy_mean
N1_Anxiety,IPIP,10,0.8334,16.7,0.3334,0.3326,0.1601,0.487,0.3269,6.8,2.78,0.5001,0.7534,0.9073,40.9,10.2,x107+x120,0.487,e150_R+h2000_R,0.1601,0.5227,0.4265,0.629,1.948
N1_Anxiety,NEO,8,0.8274,17.3,0.3747,,,,,5.6,2.33,,0.7534,0.9073,,,,,,,0.5521,0.4526,0.7233,1.8268
N2_Anger,IPIP,10,0.8846,11.5,0.4338,0.4343,0.2836,0.6194,0.3358,7.36,2.5,0.6051,0.7762,0.9167,50.5,8.6,x231_R+x265_R,0.6194,e120_R+h755,0.2836,0.6173,0.5156,0.703,1.9043
N2_Anger,NEO,8,0.8104,19.0,0.3482,,,,,4.99,2.17,,0.7762,0.9167,,,,,,,0.5262,0.4182,0.6,1.6919
N3_Depression,IPIP,10,0.8847,11.5,0.4342,0.4363,0.2535,0.6896,0.4361,7.77,2.64,0.6055,0.8053,0.9301,50.5,9.6,x156_R+x74,0.6896,e92+h737_R,0.2535,0.6186,0.5131,0.7331,1.9179
N3_Depression,NEO,8,0.8472,15.3,0.4094,,,,,6.08,2.38,,0.8053,0.9301,,,,,,,0.5893,0.3906,0.7108,1.8788
N4_SelfConscious,IPIP,10,0.7964,20.4,0.2811,0.2798,0.1535,0.4425,0.289,6.54,2.95,0.4389,0.733,0.9513,36.2,10.7,x197_R+x209_R,0.4425,h1197_R+h656,0.1535,0.4678,0.382,0.5737,2.032
N4_SelfConscious,NEO,8,0.7455,25.5,0.268,,,,,5.05,2.55,,0.733,0.9513,,,,,,,0.4424,0.27,0.6381,1.8477
N5_Immoderation,IPIP,10,0.7743,22.6,0.2555,0.2548,0.0806,0.5225,0.442,6.54,3.11,0.407,0.7385,0.9881,34.5,12.2,e24+e57,0.5225,e57+h2029,0.0806,0.4406,0.3026,0.5729,1.9892
N5_Immoderation,NEO,8,0.7213,27.9,0.2444,,,,,4.71,2.48,,0.7385,0.9881,,,,,,,0.4124,0.2924,0.5986,1.7566
N6_Vulnerability,IPIP,10,0.8267,17.3,0.3229,0.3291,0.1317,0.5147,0.383,6.34,2.64,0.4882,0.7786,0.9626,40.4,11.0,e64_R+x79_R,0.5147,e64_R+h901,0.1317,0.5174,0.4321,0.6083,1.8362
N6_Vulnerability,NEO,8,0.7915,20.8,0.3219,,,,,4.26,1.95,,0.7786,0.9626,,,,,,,0.5135,0.425,0.6143,1.5032
