,e120_R,h754,h755,h761,x191_R,x23_R,x231_R,x265_R,x84,x95
e120_R,1.0,0.41678742702904104,0.283562474108071,0.39949612912253263,0.323911002684171,0.40579597450225313,0.3993193486854329,0.4009543934860457,0.31084098496388285,0.3773170375037457
h754,0.41678742702904104,1.0,0.5681757025470566,0.6112653227513394,0.4258649306505232,0.4320823583397071,0.5243448296505151,0.49396140991213533,0.42355287644118395,0.49402544950211125
h755,0.283562474108071,0.5681757025470566,1.0,0.45683088625583007,0.3311425240998171,0.3558124561888975,0.4720082545925242,0.40521782725645056,0.36302373255190035,0.39997840129239254
h761,0.39949612912253263,0.6112653227513394,0.45683088625583007,1.0,0.3687085543055538,0.5131083551593941,0.45770813753162426,0.5401256926662003,0.36570756668995,0.45050569805867136
x191_R,0.323911002684171,0.4258649306505232,0.3311425240998171,0.3687085543055538,1.0,0.38299567280465385,0.4619973015048475,0.44007236785392934,0.3142649063283476,0.46744825211636176
x23_R,0.40579597450225313,0.4320823583397071,0.3558124561888975,0.5131083551593941,0.38299567280465385,1.0,0.4476895578225952,0.5275230744810255,0.38568634805379604,0.46662179491816225
x231_R,0.3993193486854329,0.5243448296505151,0.4720082545925242,0.45770813753162426,0.4619973015048475,0.4476895578225952,1.0,0.6193712998418813,0.42591297556275126,0.4923779098745761
x265_R,0.4009543934860457,0.49396140991213533,0.40521782725645056,0.5401256926662003,0.44007236785392934,0.5275230744810255,0.6193712998418813,1.0,0.4191176043139983,0.5122299280041807
x84,0.31084098496388285,0.42355287644118395,0.36302373255190035,0.36570756668995,0.3142649063283476,0.38568634805379604,0.42591297556275126,0.4191176043139983,1.0,0.40998135870120556
x95,0.3773170375037457,0.49402544950211125,0.39997840129239254,0.45050569805867136,0.46744825211636176,0.46662179491816225,0.4923779098745761,0.5122299280041807,0.40998135870120556,1.0
