,e92,h640,h646,h737_R,h947,x129_R,x15,x156_R,x205,x74
e92,1.0,0.4886150941391312,0.32890176008255567,0.2535136910343398,0.39781944379252393,0.3268661765763905,0.3898808907563247,0.5313588346056538,0.39103602538368054,0.520970772744407
h640,0.4886150941391312,1.0,0.4518582885638816,0.39426677918183145,0.4700314408690888,0.36984967324189183,0.4348777970065417,0.5052454042629722,0.35773559477622396,0.5685014275520778
h646,0.32890176008255567,0.4518582885638816,1.0,0.48040139940310844,0.4027119028422751,0.4857403759434443,0.5412517869000654,0.4218846324338369,0.39806061299638024,0.41124990286345364
h737_R,0.2535136910343398,0.39426677918183145,0.48040139940310844,1.0,0.3491435426874678,0.42895637547826043,0.4059626532851753,0.3825513835237127,0.2877635405644312,0.358703240786835
h947,0.39781944379252393,0.4700314408690888,0.4027119028422751,0.3491435426874678,1.0,0.29670498597469913,0.44714630923799803,0.4116561263795181,0.3574916064012636,0.4530369304335245
x129_R,0.3268661765763905,0.36984967324189183,0.4857403759434443,0.42895637547826043,0.29670498597469913,1.0,0.58682949672835,0.4682732530119629,0.4088409202132201,0.48576061638944135
x15,0.3898808907563247,0.4348777970065417,0.5412517869000654,0.4059626532851753,0.44714630923799803,0.58682949672835,1.0,0.47438379664715613,0.46266515568265076,0.5556448258432051
x156_R,0.5313588346056538,0.5052454042629722,0.4218846324338369,0.3825513835237127,0.4116561263795181,0.4682732530119629,0.47438379664715613,1.0,0.4869327297502842,0.6896276364980783
x205,0.39103602538368054,0.35773559477622396,0.39806061299638024,0.2877635405644312,0.3574916064012636,0.4088409202132201,0.46266515568265076,0.4869327297502842,1.0,0.5123662512343911
x74,0.520970772744407,0.5685014275520778,0.41124990286345364,0.358703240786835,0.4530369304335245,0.48576061638944135,0.5556448258432051,0.6896276364980783,0.5123662512343911,1.0
