,h1197_R,h1205,h592,h655,h656,h905,h991,x197_R,x209_R,x242_R
h1197_R,1.0,0.21901645572560585,0.22855401801049507,0.20103223087542543,0.15345260039765168,0.2745927215005131,0.39396806714076127,0.20403107327193443,0.1703327359874094,0.23907683511312114
h1205,0.21901645572560585,1.0,0.2566337960264016,0.23745960151042297,0.2175692170499548,0.2645275226206248,0.3424439236130012,0.18634634612164222,0.1956110038408879,0.2519527940916412
h592,0.22855401801049507,0.2566337960264016,1.0,0.2818059492477142,0.34933697091770266,0.2723112309678208,0.3315029156303414,0.34022679831382036,0.3498182198821764,0.3388912235468558
h655,0.20103223087542543,0.23745960151042297,0.2818059492477142,1.0,0.26043254337783706,0.3268790577024062,0.3791362846926417,0.2393564976063637,0.24453483187681158,0.29640965604101244
h656,0.15345260039765168,0.2175692170499548,0.34933697091770266,0.26043254337783706,1.0,0.24103659853744758,0.21734323644330325,0.2700288669075685,0.26041684084254213,0.20781198024528508
h905,0.2745927215005131,0.2645275226206248,0.2723112309678208,0.3268790577024062,0.24103659853744758,1.0,0.4334242910701618,0.3003654095606886,0.21471271440265527,0.2973171794310111
h991,0.39396806714076127,0.3424439236130012,0.3315029156303414,0.3791362846926417,0.21734323644330325,0.4334242910701618,1.0,0.2988655319174312,0.2729332527923259,0.38226713815572755
x197_R,0.20403107327193443,0.18634634612164222,0.34022679831382036,0.2393564976063637,0.2700288669075685,0.3003654095606886,0.2988655319174312,1.0,0.4424933411861253,0.3576073777027902
x209_R,0.1703327359874094,0.1956110038408879,0.3498182198821764,0.24453483187681158,0.26041684084254213,0.21471271440265527,0.2729332527923259,0.4424933411861253,1.0,0.3476080693667685
x242_R,0.23907683511312114,0.2519527940916412,0.3388912235468558,0.29640965604101244,0.20781198024528508,0.2973171794310111,0.38226713815572755,0.3576073777027902,0.3476080693667685,1.0
