"facet","method","r_neo"
"N1_Anxiety","EqualWeight",0.7534
"N1_Anxiety","IRT_Theta",0.7479
"N1_Anxiety","DiscrimWeighted",0.7573
"N1_Anxiety","RF_Predicted",0.7682
"N2_Anger","EqualWeight",0.7762
"N2_Anger","IRT_Theta",0.754
"N2_Anger","DiscrimWeighted",0.7723
"N2_Anger","RF_Predicted",0.7464
"N3_Depression","EqualWeight",0.8053
"N3_Depression","IRT_Theta",0.7822
"N3_Depression","DiscrimWeighted",0.802
"N3_Depression","RF_Predicted",0.7887
"N4_SelfConscious","EqualWeight",0.733
"N4_SelfConscious","IRT_Theta",0.7268
"N4_SelfConscious","DiscrimWeighted",0.7352
"N4_SelfConscious","RF_Predicted",0.7177
"N5_Immoderation","EqualWeight",0.7385
"N5_Immoderation","IRT_Theta",0.725
"N5_Immoderation","DiscrimWeighted",0.7342
"N5_Immoderation","RF_Predicted",0.7194
"N6_Vulnerability","EqualWeight",0.7786
"N6_Vulnerability","IRT_Theta",0.7588
"N6_Vulnerability","DiscrimWeighted",0.7799
"N6_Vulnerability","RF_Predicted",0.7589
